price (grands),bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,renovated_age,sqft_living15,sqft_lot15
339.9,4,1.75,2600,18042,1,0,0,4,8,2020,580,48,0,2200,9408
852,3,3,2400,4000,2,0,0,3,7,1860,540,112,0,1750,3940
585,5,3.5,3180,40946,1,0,3,3,7,1690,1490,49,0,2430,29620
723,4,2,2790,8793,1,0,0,4,8,1640,1150,40,0,2400,9286
594,3,2.25,2080,70567,2,0,0,3,8,2080,0,27,0,3730,43560
405,2,1.5,1370,4102,2,0,0,4,7,1370,0,30,0,1380,3211
725.5,4,2.5,2790,74495,2,0,0,3,9,2790,0,20,0,2790,24643
800,2,1,1740,5719,1,0,0,3,8,1740,0,62,0,1980,5000
1325,3,3.75,6400,76665,1,0,2,4,10,3810,2590,51,0,3430,60548
180.5,3,2.5,1800,8518,2,0,0,3,7,1800,0,21,0,1770,7570
325,3,2.5,1800,8518,2,0,0,3,7,1800,0,21,0,1770,7570
235,3,1.75,1190,7280,1,0,0,4,7,1190,0,49,0,1250,7800
330,2,1,860,8308,1,0,0,4,7,860,0,69,0,1310,8308
678.5,3,2,2460,6600,1,0,2,4,8,1370,1090,65,0,2150,6600
463,4,2.5,1980,6660,2,0,0,4,7,1980,0,43,0,1980,7150
250,2,1,670,4640,1,0,0,3,6,670,0,74,0,870,4501
655,3,2,1410,4800,1.5,0,0,4,8,1410,0,90,0,1820,7200
239.9,4,2.25,1860,7000,1,0,0,3,8,1120,740,38,0,1990,8937
185,3,1,980,9135,1,0,0,3,7,980,0,62,0,1780,9135
1735,4,2.25,3040,5000,2,0,3,4,9,2080,960,91,0,2870,5000
251.7,3,2.25,1810,11800,1,0,0,3,7,1240,570,40,0,1810,5641
400,4,2,1560,8250,1,0,0,3,8,1320,240,53,0,1870,8258
735,4,1.75,2100,7960,1,0,0,3,8,1340,760,62,0,2060,7960
1700,5,2,2500,15250,2,1,4,5,8,2500,0,75,0,1880,18782
82.5,2,1,520,22334,1,0,0,2,5,520,0,66,0,1572,10570
765,4,4,3010,7221,2,0,0,3,10,3010,0,13,0,3490,7518
292.5,4,1.75,2140,8162,1,0,0,3,7,1420,720,49,0,2040,7632
270,3,2.25,2390,7000,1,0,0,4,7,1990,400,47,0,1610,7000
415,2,1,1510,6807,1,0,0,3,7,1090,420,78,0,1460,6807
950,4,1.75,2210,19025,1,0,0,4,7,1460,750,65,0,2640,14999
353,3,2.75,2170,8396,2,0,0,3,7,2170,0,22,0,2170,8378
670.95,3,2.5,1790,2375,3,0,0,3,8,1790,0,10,0,1450,2400
280.95,3,1.75,1390,8700,1,0,3,4,7,840,550,105,0,1390,10875
585,3,1.75,1850,7735,1,0,0,4,8,1850,0,34,0,2220,7639
525,2,1.5,1480,43645,1,0,0,3,8,1480,0,43,32,1600,34326
605,3,1.75,1850,8823,1,0,0,4,8,1370,480,44,0,1880,7580
1010,4,3.5,3350,3752,2,0,0,3,9,2550,800,10,0,1050,4960
245.99,3,1,1040,8410,1,0,0,3,7,1040,0,75,72,1350,8410
535,4,2.25,2810,12607,2,0,0,3,10,2810,0,32,0,2810,17400
410,1,1.5,1010,5750,1,0,0,3,7,1010,0,106,37,1230,5750
550,3,2.5,2250,7752,2,0,0,4,8,2250,0,29,0,2080,7033
665,3,1.75,1800,8000,1,0,0,3,8,1800,0,45,0,1950,8500
455,3,1,2400,17239,1,0,0,4,7,1890,510,77,0,2390,7350
440,4,1,1780,4000,1.5,0,0,3,7,1780,0,95,0,1750,4000
332,3,2.25,2120,14915,1,0,0,3,9,1720,400,38,0,2320,13100
280,3,2.5,1860,6607,2,0,0,3,7,1860,0,28,0,1760,6766
570,3,3.5,1460,1021,2,0,0,3,8,1150,310,11,0,1460,1245
250,3,1,1230,10350,1,0,0,4,7,1230,0,60,0,1510,10427
238,2,1,1088,8453,1,0,0,3,6,1088,0,65,57,1088,8016
265,3,1,800,5760,1,0,0,3,6,700,100,68,0,1060,6628
306,3,1,1190,10350,1,0,0,4,7,1190,0,58,0,1850,10500
345,5,2.75,1940,4182,1,0,0,3,7,1240,700,15,0,1950,4182
765,4,2.5,3300,10764,1,0,0,4,9,1720,1580,46,0,2290,10975
346.3,4,2.5,2590,11018,2,0,0,3,8,2590,0,19,0,2400,8042
342.5,3,2,2080,11375,1,0,0,3,8,2080,0,15,0,1080,12899
501,4,2.25,2680,5439,2,0,0,3,7,2680,0,17,0,2460,4473
270,3,2.5,1670,8364,1,0,0,4,7,1300,370,27,0,1490,8143
638,3,1,1830,4400,1.5,0,0,4,8,1720,110,87,0,1650,4400
460,3,1.75,1400,2003,1,0,0,4,8,700,700,109,98,1370,1281
760,4,1.75,2770,8521,1,0,0,4,7,1470,1300,64,0,1910,9380
1085,3,2.5,3630,11019,1,0,0,4,9,2150,1480,45,0,3150,13555
234,3,1,1040,8128,1,0,0,3,6,1040,0,34,0,1520,7500
1650,3,2.75,2690,8890,2,1,4,4,10,2690,0,42,16,2940,8890
488,5,2,2020,5000,1.5,0,0,4,7,2020,0,79,0,1510,6600
1550,5,2.5,2450,20805,2,0,0,4,9,2450,0,54,0,3020,20324
499,4,3,2030,12675,2,0,0,3,7,2030,0,35,0,1990,7705
150,3,1,1450,6776,1,0,0,3,7,1450,0,65,0,1680,7200
333,4,2.5,2400,7270,2,0,0,3,8,2400,0,24,0,2150,6584
700,4,2.75,2870,8625,1,0,1,4,8,1860,1010,58,0,2430,8479
275,4,1,1340,22500,1.5,0,0,3,7,1340,0,91,0,1620,10800
330,3,2.5,1680,11312,1,0,0,3,7,1080,600,58,0,1390,10700
360,4,2,1850,8827,1,0,0,3,7,1850,0,48,0,1310,6901
467,3,1,1220,8040,1.5,0,0,3,7,1220,0,52,0,1360,8040
568,3,2.5,2320,57063,1,0,0,4,9,1790,530,38,0,3290,7314
605,5,2.25,3220,9603,2,0,0,3,8,3220,0,45,0,2260,10093
750,4,2.75,3190,9023,2,0,0,3,9,3190,0,12,0,3159,5615
760,3,2.75,3530,69834,2,0,0,3,10,3530,0,23,0,3560,74256
265,3,1.75,2050,10519,1,0,0,3,7,1240,810,38,0,1770,9605
490,3,1.75,1720,12540,1,0,0,4,7,1720,0,61,0,1440,11850
360,4,2.5,2850,4650,2,0,0,3,8,2850,0,13,0,2850,4650
311.75,4,2.25,2270,12000,1,0,0,4,7,1290,980,41,0,2030,23980
399,3,2.25,1880,12473,1,0,0,3,8,1420,460,59,0,2300,10469
347,4,2.5,2770,9751,2,0,0,3,8,2770,0,28,0,2370,6950
1680,4,3.75,4490,34982,2,0,0,3,12,4490,0,19,0,4470,37525
585,4,2.5,3110,6479,2,0,0,3,9,3110,0,12,0,3110,7075
340,4,2.5,2360,7475,2,0,0,3,8,2360,0,25,0,2280,7570
612,3,2.5,2180,5496,2,0,0,3,8,2180,0,23,0,2120,5496
230,2,1.75,1910,3376,2,0,0,3,8,1910,0,37,0,1470,3623
604,4,2.5,2260,7753,2,0,0,3,9,2260,0,28,0,2690,8924
250,3,1.75,1770,8868,1,0,0,4,7,1770,0,58,0,1630,9706
258.5,3,2,1460,7930,1,0,0,3,7,1460,0,28,0,1630,7930
783,4,2.75,2080,5000,1,0,0,5,8,1470,610,77,0,1970,5000
1050,5,2.25,2960,7680,1,0,2,5,8,1550,1410,59,0,2860,7680
760,4,2.5,3220,4031,2,0,0,3,9,3220,0,15,0,3150,5083
276,3,1,1140,5000,1,0,0,3,7,1140,0,57,0,1140,5000
550,4,2,1660,12377,1,0,0,3,8,1660,0,51,0,1820,8968
398,4,1,1430,6240,1.5,0,0,5,7,1430,0,64,0,1410,6240
775,3,3,1820,4300,1.5,0,0,4,8,1620,200,103,69,1440,4300
1027.5,4,3,3540,10202,2,0,0,3,8,2720,820,29,0,2780,10714
327,4,1,1620,6000,1.5,0,0,5,7,1620,0,112,0,1310,6000
564.5,4,2.75,3100,14568,2,0,0,3,8,3100,0,22,0,2860,14396
782,4,1.75,1500,6820,1.5,0,0,5,7,1500,0,112,0,1360,4125
398,4,2.5,2820,5510,2,0,0,3,9,2820,0,12,0,2820,5510
257,3,1.75,1850,10920,1.5,0,0,3,6,1850,0,102,0,1510,7871
235,4,2,1570,9415,2,0,0,4,7,1570,0,33,0,1550,8978
453,4,2.75,2300,37533,1,0,3,5,8,1550,750,38,0,2130,10092
535,2,1,920,9000,1,0,0,1,6,920,0,63,0,1760,8400
275,3,2.5,1600,7000,2,0,0,4,8,1600,0,24,0,1700,7000
665,3,2.5,2630,10047,2,0,0,3,9,2630,0,21,0,2640,10620
670,4,2.75,3020,13530,1,0,0,4,8,1540,1480,40,0,2230,11896
465,3,1.75,1490,10757,1,0,0,3,7,1060,430,51,0,1490,10609
210,3,1.5,1160,5200,1,0,0,5,7,1160,0,47,0,1170,5200
265,4,2.5,2040,4443,2,0,0,3,8,2040,0,16,0,2040,4637
426,2,2.5,1550,2657,2,0,0,4,8,1550,0,30,0,1570,2442
529.219,4,2.25,1990,7610,1,0,0,4,8,1290,700,51,0,1820,8198
600,3,2.25,1900,46609,1.5,0,0,4,7,1440,460,48,0,2460,43560
875,5,3.5,3840,8279,2,0,0,3,9,3840,0,16,0,3570,8279
608,4,3,2400,7680,1,0,0,3,7,1200,1200,61,0,2670,6342
220,3,1,1660,21514,1,0,0,4,7,1660,0,44,0,1660,21600
1760,4,5,6055,21630,1,0,3,4,12,3555,2500,21,0,4890,19223
295.45,3,2,2030,17120,1,0,2,4,8,1890,140,51,0,1870,13662
315,2,1,840,5087,1,0,0,3,7,840,0,92,0,1590,5087
205,4,2,1450,8175,1,0,0,4,7,1450,0,50,0,1570,9024
310,3,1.5,1460,9908,1,0,0,3,7,1460,0,65,0,1420,9582
1000,5,1,2010,5210,1.5,0,0,3,9,1890,120,90,0,2330,5000
525,4,2.5,2910,7631,2,0,2,3,9,2910,0,11,0,3190,5552
284,4,1.75,1880,8800,1,0,0,3,7,1130,750,57,0,1340,8733
510,3,1.75,2170,26460,1,0,0,3,8,1450,720,31,0,2090,29075
405,2,1,1260,4377,1,0,0,4,7,1260,0,70,0,1420,6376
509.95,3,2.5,1970,9153,2,0,0,3,8,1970,0,10,0,1800,9800
600,4,2.25,2090,45738,2,0,0,3,8,2090,0,30,0,3420,45738
990,4,3.75,3450,4940,2,0,0,3,10,2570,880,11,0,1880,5387
280.005,3,1.5,1130,7200,1,0,0,3,7,1130,0,63,0,1130,7200
700,3,1.75,2600,7668,1,0,0,4,8,1300,1300,49,0,1980,13664
330,3,1,1030,7620,1,0,0,3,7,1030,0,64,0,1030,7560
340,2,1,1700,6718,1,0,2,3,7,1230,470,61,0,2040,7500
468,2,2.5,1480,2167,2,0,0,3,8,1390,90,10,0,2130,2556
1339,4,2.5,4250,19387,2,0,2,4,9,3260,990,45,0,3690,17024
515,3,1.75,1600,20873,1,0,0,3,8,1600,0,62,0,2640,18364
245,4,2,1870,8750,1,0,2,3,7,1870,0,40,0,1770,8207
265,3,2.5,1440,7741,1,0,0,4,7,1000,440,34,0,1680,7316
372.4,3,2.5,2720,11937,2,0,0,3,9,2720,0,27,0,2590,9683
390,3,1.5,1240,8410,1,0,0,5,6,1240,0,69,0,1630,8410
208,3,1,1020,6120,1,0,0,4,7,1020,0,50,0,1370,8000
273,2,0.5,1180,7750,1,0,0,4,6,590,590,72,0,1380,8976
455,5,3.5,3080,7759,2,0,0,3,8,2310,770,14,0,2980,8223
270,4,2.5,1750,6397,2,0,0,3,7,1750,0,29,0,1940,6502
618,4,2.25,2530,8736,1,0,0,4,7,1210,1320,59,0,1720,8500
213.55,3,2.5,1580,8541,2,0,0,3,7,1580,0,27,0,1640,7542
210,5,1.75,2340,9148,2,0,0,3,7,2340,0,60,0,1390,10019
2750,5,4,6300,16065,2,0,1,3,12,4360,1940,13,0,3260,17287
403.5,4,2.75,2400,3844,1,0,0,5,7,1200,1200,43,0,1100,3844
235,3,1.5,1300,7600,1,0,0,4,7,1300,0,54,0,1570,7600
287.5,3,2,1760,7147,1,0,0,4,6,880,880,81,0,1720,7147
546.8,4,1.5,1520,5910,1,0,0,3,7,1020,500,71,0,1710,5910
183,3,1.75,1070,8100,1,0,0,4,6,1070,0,60,0,1260,8100
560,3,2,2560,216777,1,0,0,3,8,2560,0,31,0,2360,108463
299.5,3,1,1280,6726,1,0,0,3,6,1280,0,59,0,1630,5000
610,4,2.25,1660,7350,1,0,0,3,8,1660,0,52,49,1790,7455
288.35,3,1.5,1860,7963,1,0,0,3,7,1200,660,54,0,1800,10400
500,2,1,950,4500,1,0,2,3,7,850,100,91,0,1670,4000
625,4,2.75,2140,4000,1,0,0,3,7,1190,950,66,0,2140,4770
418,2,1.5,1480,1349,2,0,0,3,7,1240,240,10,0,1550,1349
660,3,3,2260,1825,2,0,0,3,8,1660,600,15,0,2260,1834
775,4,2.5,2300,6158,2,0,0,3,9,2300,0,18,0,2170,6434
429.5,3,2.75,1650,7272,1,0,0,4,7,1230,420,45,0,1770,7272
569,3,2,1990,3000,1.5,0,0,3,7,1230,760,109,62,1600,4080
250,4,2,1960,7560,1,0,0,5,7,1160,800,39,0,1950,7560
225,3,1.5,1310,10491,1,0,0,4,7,1310,0,48,0,1430,9664
530,4,2.75,2450,15002,1,0,0,5,9,2450,0,43,0,2650,15055
306,3,1,910,8658,1,0,0,3,7,910,0,62,0,1170,10200
517.1,3,1.75,1580,9719,1,0,0,5,7,1580,0,55,0,1760,8539
354.95,3,1.75,1780,9689,1,0,0,3,7,1130,650,41,0,1660,9786
348,3,1.5,1040,1824,1,0,0,3,6,1040,0,92,0,1010,5100
522.25,4,2.5,2340,41600,1,0,0,3,8,1640,700,40,0,2340,34960
275,3,2.5,1720,8755,1,0,0,3,8,1000,720,34,0,1720,8690
390,3,1.5,1600,10440,1,0,0,3,7,1600,0,63,0,1600,8816
260,3,1.5,1320,9750,1,0,0,3,7,1320,0,63,0,1530,9750
585,5,2.75,2350,4178,1.5,0,0,3,8,1520,830,95,93,1920,4178
605,5,2.75,2740,5616,1.5,0,0,5,7,1670,1070,92,0,1600,4592
342,4,2.5,2300,6448,2,0,0,3,8,2300,0,16,0,1860,5872
900,5,3,4350,37169,2,0,0,3,10,2950,1400,45,0,3280,41631
252,3,1.75,1430,7700,1,0,0,4,7,980,450,36,0,1430,8625
357,3,1.75,2400,14012,1,0,0,3,9,2400,0,46,0,2800,13988
370,3,1,940,7910,1,0,0,4,6,940,0,58,0,1000,7700
322.5,3,1,1020,13504,1,0,0,5,7,1020,0,58,0,1110,11158
210,2,2,1680,5756,2,0,0,4,7,1680,0,107,0,1340,5447
290,2,1,1340,9840,1,0,0,3,7,1340,0,68,0,1610,8949
860,4,3.25,3960,7012,2,0,0,3,10,3960,0,12,0,3680,8522
302,6,2,2650,4621,1.5,0,0,3,8,2650,0,106,0,1640,4879
369.16,4,2.25,2120,9680,2,0,2,4,8,2120,0,52,0,2360,9647
1185,4,2.75,2850,3000,2.5,0,0,3,9,2530,320,14,0,2083,4500
993,4,2,2850,14810,2,0,0,5,8,2490,360,63,0,2430,10454
380,6,2,1870,6969,1,0,0,4,7,1870,0,49,0,1500,6969
635,4,2,2660,8160,1,0,0,4,7,1380,1280,68,0,1660,8160
260,3,1,1190,11120,1,0,0,3,6,1190,0,70,0,1230,12720
243,2,1,1770,5522,1.5,0,0,4,7,960,810,74,0,1830,7378
1400,4,2.5,2770,8879,2,0,0,3,9,2770,0,16,0,2770,8882
665,4,2.5,2080,8100,1,0,2,5,8,1220,860,65,0,2090,8100
898,5,2.25,2700,9000,2,0,0,5,9,2700,0,30,0,2630,9000
583,4,2.75,2200,9453,1,0,0,5,8,1100,1100,62,0,1390,5355
429,4,1.75,2160,7700,2,0,0,2,8,2160,0,40,0,2080,7700
471,3,2.5,2010,4059,2,0,0,3,8,2010,0,19,0,2010,5779
1810,3,3.5,3780,8295,2,0,0,3,9,2430,1350,66,0,3780,9127
739.5,3,3.25,4460,51177,2,0,0,3,9,4460,0,12,0,2670,38925
450,3,1.5,1770,17208,1,0,0,3,8,1160,610,58,0,2450,17118
552.5,3,1,1430,5000,1,0,0,3,7,1430,0,68,0,1210,5000
437,4,1.75,1700,10642,1,0,0,4,7,850,850,63,0,1610,11200
270,4,2,1830,5220,1.5,0,0,3,7,1830,0,66,0,1760,5757
226.74,3,1.5,1410,8800,1,0,0,4,7,1410,0,52,0,2180,10108
446.5,4,2.5,3060,7920,1,0,0,3,8,1810,1250,43,0,2690,7767
283,3,2,1820,15068,2,0,2,3,7,1520,300,97,94,1490,9589
445,4,1.75,2430,13211,1.5,0,0,4,7,2430,0,108,69,1330,10500
250,2,1,740,6840,1,0,0,5,6,740,0,75,0,740,6840
307,3,1,770,6552,1,0,0,3,6,670,100,75,0,920,7200
315,4,2.75,2200,8580,1,0,0,3,8,1860,340,26,0,2290,7816
555,3,3,2920,23085,1.5,0,2,3,7,1540,1380,109,0,2270,18180
264.9,4,2.5,2040,7000,1,0,0,3,7,1250,790,38,0,1900,7378
510,3,2,1600,4510,1,0,0,3,7,990,610,39,0,1580,4561
328,4,2.5,1990,3980,2,0,0,3,7,1990,0,15,0,1990,4373
358,4,2.5,1830,7308,2,0,0,3,7,1830,0,15,0,1830,5692
325,3,2.5,2540,4260,2,0,0,3,7,2540,0,12,0,2190,4260
1365,2,3.25,2700,3444,3,1,3,3,9,2700,0,27,0,2710,3444
230,4,2,1440,10800,1,0,0,4,7,1440,0,50,0,1190,7380
545,3,2,1550,4000,1,0,0,3,7,940,610,62,0,1880,4000
705.38,3,2.5,2490,4343,2,0,0,3,9,2490,0,14,0,2130,4106
459,5,2.5,2650,12987,1,0,0,4,7,1350,1300,38,0,2160,12726
815,4,2.25,2000,3800,2,0,0,3,8,2000,0,16,0,1610,3800
495,6,5,3440,4500,2,0,0,3,8,3280,160,10,0,1400,5500
520,3,2.5,2280,58712,2.5,0,3,3,9,2280,0,30,0,2240,24332
430,2,1.5,1320,1194,3,0,0,3,7,1320,0,16,0,1320,1250
255,4,2.5,2070,7800,2,0,0,3,8,2070,0,28,0,1950,7815
588,3,2,1860,4777,2,0,0,5,7,1860,0,109,0,1580,3822
350,3,1,940,7811,1,0,0,3,6,940,0,58,0,1180,7490
625,4,2.75,2290,21486,1,0,2,5,7,2290,0,54,0,2540,15936
172.5,2,2,1510,20685,1,0,0,2,6,1250,260,59,0,1490,29527
554,3,2,1830,3500,1.5,0,0,5,7,1290,540,108,0,1530,4000
775,4,2.5,3090,7112,2,0,0,3,9,3090,0,16,0,3050,6000
1187.5,4,3.5,4340,217800,2,0,0,3,11,4340,0,14,0,3430,219106
618,3,2.75,3200,12682,2,0,1,3,9,3200,0,40,0,2880,10432
305,4,1,1560,8450,1.5,0,0,4,6,1560,0,63,0,1380,8100
232,3,2,1280,13356,1,0,0,3,7,1280,0,23,0,1590,8071
262,4,2.5,2020,6236,2,0,0,3,7,2020,0,15,0,1940,5076
234,3,1,1040,8122,1,0,0,5,7,1040,0,46,0,1470,8676
500,4,2.75,2260,7209,1,0,3,3,7,1330,930,15,0,1790,10860
278,3,1,860,7632,1,0,0,3,6,860,0,97,0,890,7632
230,5,1,1920,19040,1,0,0,3,7,1160,760,56,0,1920,11520
500,4,1.75,2290,9215,1,0,0,5,8,1270,1020,48,0,2290,10200
366.5,4,2.75,2070,9300,1,0,0,5,7,1120,950,72,0,1010,8308
665,6,3,4250,4400,2.5,0,0,4,7,3020,1230,115,0,1520,4950
1101,3,1.5,2220,4830,2,0,3,3,9,1790,430,89,82,1670,4830
575,2,1.75,1840,4076,1,0,0,3,8,1140,700,60,0,1540,4076
674.75,4,2.5,2590,9753,2,0,0,3,10,2590,0,24,0,2800,9917
719,5,2,3110,6131,1,0,0,5,7,1560,1550,77,0,1720,6600
482,3,1.75,2600,105587,1,0,0,4,7,1300,1300,37,0,1941,208438
254,2,1,1060,8187,1,0,0,4,6,1060,0,65,0,1260,8188
443.725,3,1.75,1250,3880,1,0,0,4,7,750,500,73,0,1240,3880
575,4,2.5,2520,35636,2,0,0,3,8,2520,0,37,0,2230,35673
469,3,2.25,2070,9957,1,0,0,3,8,1440,630,40,0,2070,10158
175,2,1,1300,44431,1,0,0,5,6,1300,0,59,0,1470,14850
437,5,2,2190,8316,1,0,0,3,7,1390,800,56,0,2010,8316
550,4,3,2760,13113,1,0,0,4,8,1760,1000,43,0,1900,13113
172.04,3,2.25,1710,7134,1,0,0,4,7,1130,580,38,0,1790,7455
363,3,2,1750,7000,1,0,0,3,8,1750,0,24,0,1840,6969
282,3,2.25,1552,3600,2,0,0,3,7,1552,0,5,0,1677,3600
400,6,2,2350,6554,2,0,1,3,8,2000,350,112,0,1560,6554
650,5,3.5,5110,10018,2,0,0,3,10,3850,1260,14,0,1790,10018
365,3,2.5,1720,99916,2,0,0,4,7,1720,0,27,0,1340,73180
269.95,4,2.5,1960,7230,2,0,0,3,8,1960,0,15,0,1850,7208
260,2,1,1270,19602,1,0,0,3,6,1270,0,40,0,1270,17699
193,3,1.5,1180,7000,1,0,0,4,7,1180,0,40,0,1630,7500
340,4,2.25,2230,6791,2,0,0,3,8,2230,0,12,0,2420,6297
900,4,3.25,4700,38412,2,0,0,3,10,3420,1280,39,0,3640,35571
371,3,2.5,2150,8361,2,0,0,3,8,2150,0,26,0,2150,9368
592,3,2.5,2400,81892,2,0,0,3,8,2400,0,32,0,1370,37270
300,3,2.5,1830,12750,2,0,0,3,7,1830,0,26,0,1610,10000
449.95,4,3,2800,6977,2,0,0,3,8,2800,0,14,0,2800,6600
299.5,3,2.5,2090,7163,2,0,0,3,8,2090,0,28,0,2320,8634
995,4,2.25,2340,13406,1,0,0,4,9,2340,0,54,0,2340,10743
335,4,1.75,1670,9472,1,0,0,3,7,1100,570,57,0,1080,5195
280,4,2.25,1990,7350,1,0,0,4,8,1180,810,39,0,2030,7210
446,4,2.25,2270,7800,1,0,0,3,7,1290,980,40,0,1480,7280
1544.5,4,2.75,4910,15139,1,0,0,4,10,2560,2350,53,0,3980,15139
325,3,1,950,4500,1,0,0,4,6,950,0,74,0,1140,4500
450,3,1.75,1610,11200,1,0,0,3,7,1610,0,62,0,1610,11200
322.5,4,2.5,1940,7107,2,0,0,3,7,1940,0,17,0,1850,5705
453,3,1,1210,9473,1,0,0,5,7,1210,0,62,0,1700,11465
655,4,2.5,2570,4412,2,0,0,3,9,2570,0,16,0,2460,5470
603,3,2.25,1700,2800,2,0,0,5,7,1150,550,91,0,1500,3400
235,4,1,1610,24000,1.5,0,0,3,6,1610,0,70,0,1270,9600
968.933,4,3.5,4120,7304,2,0,0,3,11,3070,1050,11,0,2470,9600
1015,3,3.5,2880,11340,1,0,0,3,8,1690,1190,37,33,2530,11340
435,4,2.25,1990,8548,2,0,0,3,8,1990,0,44,0,2320,8926
242,3,2,1260,8092,1,0,0,3,7,1260,0,31,0,1950,8092
487,6,3.25,4750,248600,2,0,0,4,8,4750,0,70,0,2230,311610
810,4,2.75,3010,10450,2,0,0,3,9,3010,0,21,0,3010,10530
625,3,2.5,2410,64073,1,0,0,4,8,1820,590,41,0,2980,48760
165,3,1.5,1280,7742,1,0,0,3,7,1280,0,44,0,1566,7696
335,3,1,2320,6750,1,0,0,3,7,1160,1160,57,0,1230,6075
286.7,3,1,1220,6600,1,0,0,3,6,1220,0,59,0,1100,6600
699,2,1.5,1400,4050,1,0,0,4,8,1400,0,63,0,1900,5940
280,3,1.75,1590,7280,1,0,0,3,7,1140,450,43,0,1590,9634
580,4,2.5,2220,7064,2,0,0,3,8,2220,0,29,0,2220,7451
754.8,2,2.5,2770,7781,2,0,0,3,8,2770,0,11,0,1870,5984
525,4,2.5,2303,16801,2,0,0,3,8,2303,0,22,0,2080,14013
562,3,1.75,1600,10530,1,0,2,3,8,1600,0,55,0,2590,8274
575,4,1.75,1280,6060,1,0,0,3,7,860,420,91,0,1490,4680
808.9,5,2.5,2900,5901,2,0,0,3,9,2900,0,11,0,3200,5775
992,3,2.25,2950,15207,1,0,0,4,10,2070,880,51,0,2950,22000
335,3,2.5,1700,6698,2,0,0,3,7,1700,0,20,0,2190,7346
473,3,2.75,1050,7200,1,0,0,3,7,1050,0,32,0,1860,9000
350,4,2.75,2990,11210,1,0,1,4,8,1880,1110,40,0,2790,9858
1600,5,2.5,3100,5374,2.5,0,0,4,9,3100,0,111,0,2180,5800
305.5,3,1,1240,6090,1,0,0,4,7,1240,0,67,0,1550,9096
306,2,1,780,13500,1,0,0,4,7,780,0,71,43,2200,67518
233,2,2.25,850,1656,2,0,0,3,8,850,0,16,0,850,1312
490,3,1.75,1540,9000,1,0,0,3,8,1540,0,46,0,1710,7488
445,4,2.5,2280,42077,2,0,0,3,8,2280,0,23,0,2280,36236
355,3,2.25,2550,9674,1,0,0,3,7,1850,700,58,0,2240,9674
360,2,2,1770,7607,1,0,0,4,8,1770,0,30,0,2090,7109
737.5,3,1.75,2320,10900,2,0,0,3,7,2320,0,82,39,1610,5800
985,3,3.5,2600,11920,2,0,0,5,8,2600,0,48,0,2430,10050
349.95,2,3.25,1570,2031,2,0,0,3,8,1310,260,11,0,1570,2039
520,4,2.5,3060,7161,2,0,0,3,8,2860,200,12,0,2950,6822
355.95,4,2.5,1960,8540,1,0,0,3,7,1220,740,62,0,1910,9120
485,5,2.5,3270,6129,2,0,0,3,9,3270,0,13,0,2980,5928
143,3,1,1090,3315,1,0,0,4,6,1090,0,48,0,960,3120
3278,2,1.75,6840,10000,2.5,1,4,3,11,4350,2490,16,0,3120,12300
355,3,1,940,8512,1,0,0,4,7,940,0,50,0,1060,8512
1126,5,3.5,3880,13885,2,0,3,4,9,2540,1340,38,0,3690,13885
200,5,1.75,1770,15525,1,0,0,4,7,1770,0,58,0,1370,10395
913,4,2.5,3640,10576,2,0,0,3,11,3640,0,18,0,3370,10351
1600,3,2.5,3160,12824,1,0,2,4,9,1820,1340,51,0,3390,11985
409.9,2,2.5,1590,1845,2,0,0,3,9,1590,0,20,0,2320,3174
265,4,1,1290,6034,1,0,0,3,6,1050,240,67,0,1060,6034
740,5,3,3655,51836,1,0,0,5,8,2174,1481,62,0,2530,8606
306,4,2.5,2490,8124,2,0,0,3,7,2490,0,16,0,2760,6300
381,3,2.5,1470,3999,2,0,0,3,7,1470,0,14,0,1960,4444
1220,3,3.25,3960,6132,2,0,3,3,10,2600,1360,84,0,2730,5221
1050,3,3.5,3190,29982,1,0,3,4,8,2630,560,76,0,2600,19878
408,2,1,810,7440,1,0,0,5,6,810,0,69,0,830,7500
739.9,5,2.5,2980,5377,2,0,0,3,9,2980,0,11,0,3150,6593
674.25,4,2.5,2780,35000,1,0,0,4,9,2780,0,32,0,2740,35072
438.4,2,1,1340,8100,1,0,0,4,7,1340,0,64,0,1700,8100
1700,5,5,4930,14649,2,0,3,3,11,4160,770,17,0,3030,8479
703,3,2,1360,5980,1.5,0,0,3,8,1360,0,72,63,1520,4440
262,3,1.75,1320,6530,1,0,0,4,7,1320,0,28,0,1620,6817
353,3,2,1210,14499,1,0,0,3,7,1210,0,33,0,1570,15360
500,4,2.5,1940,7607,2,0,0,3,8,1940,0,22,0,2250,7600
1280,4,2.5,3160,4620,1.5,0,4,3,9,2020,1140,100,88,2790,5308
332,4,2.5,1980,6566,2,0,0,3,8,1980,0,13,0,2590,6999
824,4,2.5,2320,14240,1,0,0,4,9,1620,700,43,0,2810,13200
290,4,2,1660,4788,1,0,0,3,7,1660,0,49,0,1150,5000
700,3,2.5,1660,1545,2,0,2,3,9,1400,260,15,0,1820,2570
550,2,1,1080,3420,1,0,0,4,7,780,300,95,0,1380,3656
549,2,1,1510,11165,1.5,0,0,4,7,1510,0,96,0,2210,8851
1865,4,2.5,2950,43560,1,0,2,4,9,2550,400,66,0,3260,41016
